SID,名前,読み,国籍,性別,学科
000134,後藤田 飛鳥,ごとうだ あすか,JP,男,004
000135,古波蔵 和平,こはぐら かずへい,JP,男,003
000136,小幅 梨惠,こはば りえ,JP,女,003
000137,小針 知亜紀,こはり ちあき,JP,女,001
000138,児美川 理都子,こみかわ りつこ,JP,女,001
000139,五味田 友望,ごみた ともみ,JP,女,005
000140,古守 隆大,こもり たかひろ,JP,男,003
000141,小谷瀬 沙亜也,こやせ さあや,JP,女,002
000142,小谷田 安弘,こやた やすひろ,JP,男,005
000143,坂原 光伸,さかはら みつのぶ,JP,男,003
000144,坂元 智洋,さかもと ともひろ,JP,男,002
000145,坂矢 彌生,さかや やよい,JP,女,005
000146,匂坂 秀規,さきさか ひでのり,JP,男,001
000147,鷺森 祐士,さぎもり ゆうじ,JP,男,003
000148,作元 詞子,さくもと のりこ,JP,女,002
000149,酒 敬彦,さけ よしひこ,JP,男,005
000150,笹垣 純之介,ささがき じゅんのすけ,JP,男,002
000151,笹木 翔大,ささき しょうた,JP,男,003
000152,里田 幸洋,さとだ ゆきひろ,JP,男,002
000153,早良 純華,さわら すみか,JP,女,006
000154,三瓶 隆之,さんぺい たかゆき,JP,男,004
000155,塩附 仁巳,しおつき ひとみ,JP,女,006
000156,直原 和香奈,じきはら わかな,JP,女,002
000157,茂木 美鈴,しげき みれい,JP,女,002
000158,重高 安美,しげたか やすみ,JP,女,004
000159,静香 総,しずか そう,JP,男,001
000160,志鷹 弘基,したか ひろき,JP,男,001
000161,倭文 岳秋,しとり たけあき,JP,男,006
000162,柴小屋 花琳,しばこや かりん,JP,女,003
000163,島路 ユウ子,しまじ ゆうこ,JP,女,006
000164,下手 秀一,しもて ひでいち,JP,男,001
000165,下寺 志江,しもでら ゆきえ,JP,女,001
000166,下向 蓉,しもむかい よう,JP,女,004
000167,十楚 望花,じゅうそ みか,JP,女,001
000168,諸 頌子,しょ のぶこ,JP,女,003
000169,城地 好未,じょうち よしみ,JP,女,003
000170,松扉 聡美,しょうひ としみ,JP,女,001
000171,諸徳寺 眞輔,しょとくじ しんすけ,JP,男,004
000172,鄭 正治,じょん まさはる,JP,男,005
000173,白田 珠子,しらた たまこ,JP,女,001
000174,白吉 京助,しらよし きょうすけ,JP,男,004
000175,真栄 花波,しんえい かなみ,JP,女,002
000176,新門 辰広,しんかど たつひろ,JP,男,006
000177,陣内 南美,じんのうち みなみ,JP,女,001
000178,真保 翔,しんぽ つばさ,JP,女,002
000179,杉目 佳裕,すぎめ よしひろ,JP,男,006
000180,杉分 和城,すぎわけ かずき,JP,男,004
000181,筋田 由衣香,すじた ゆいか,JP,女,006
000182,壽山 しんじ,すやま しんじ,JP,男,004
000183,盛 聖奈,せい せな,JP,女,001
000184,清間 兼太,せいま けんた,JP,男,002
000185,瀨川 果梨,せがわ かりん,JP,女,003
000186,関澤 真友美,せきざわ まゆみ,JP,女,004
000187,曽田 栄利子,そた えりこ,JP,女,002
000188,染川 克弥,そめかわ かつや,JP,男,006
000189,空田 国昭,そらだ くにあき,JP,男,004
000190,帝釋 星,たいしゃく しょう,JP,男,005
000191,高浦 幸伸,たかうら ゆきのぶ,JP,男,002
000192,髙田 大亮,たかた だいすけ,JP,男,004
000193,高蓋 順子,たかふた ゆきこ,JP,女,004
000194,瀧北 真来,たききた まき,JP,女,001
000195,滝澤 諭美,たきさわ さとみ,JP,女,003
000196,滝平 雅善,たきひら まさよし,JP,男,006
000197,竹鶴 香耶,たけつる かや,JP,女,002
000198,竹節 尚太,たけふし しょうた,JP,男,001
000199,武政 まや,たけまさ まや,JP,女,006
000200,多勢 平,たせい へい,JP,男,004
000201,館山 貴美代,たてやま きみよ,JP,女,003
000202,棚尾 せつ,たなお せつ,JP,女,005
000203,田邉 里穂,たなべ りほ,JP,女,002
000204,谷井 みわ,たにい みわ,JP,女,003
000205,溜渕 鶴美,たまりぶち つるみ,JP,女,001
000206,田邑 晃枝,たむら あきえ,JP,女,006
000207,為末 統,ためすえ はじめ,JP,男,002
000208,多屋 忠勝,たや ただかつ,JP,男,001
000209,崔 麻由里,ちえ まゆり,JP,女,003
000210,千吉良 美津代,ちぎら みつよ,JP,女,005
000211,千種 明,ちくさ めい,JP,男,002
000212,智田 裕紀乃,ちだ ゆきの,JP,女,003
000213,地野 祐香理,ちの ゆかり,JP,女,005
000214,立木 知裕,ついき ともひろ,JP,男,006
000215,塚腰 通雄,つかごし みちお,JP,男,002
000216,塚辺 鷹一,つかべ よういち,JP,男,002
000217,槻瀬 千亜樹,つきせ ちあき,JP,女,001
000218,築谷 一慶,つきたに かずよし,JP,男,005
000219,蔦山 辰広,つたやま たつひろ,JP,男,003
000220,土上 秀城,つちがみ ひでき,JP,男,005
000221,堤本 隆代,つつみもと たかよ,JP,女,001
000222,角田 奈央子,つのだ なおこ,JP,女,002
000223,角森 美夕紀,つのもり みゆき,JP,女,003
000224,壷屋 優海,つぼや ゆみ,JP,女,001
000225,津室 基安,つむろ もとやす,JP,男,005
000226,釣井 竜弥,つりい たつや,JP,男,003
000227,鐵野 良至,てつの りょうじ,JP,男,004
000228,手原 誠士,てはら さとし,JP,男,002
000229,天 聡一朗,てん そういちろう,JP,男,005
000230,天花寺 隆央,てんげいじ たかひろ,JP,男,004
000231,堂坂 華江,どうさか はなえ,JP,女,004
000232,戸木 正健,とぎ まさたけ,JP,男,001
000233,土岐 幸弘,とき ゆきひろ,JP,男,003
000234,時里 庄吾,ときさと しょうご,JP,男,001
000235,徳留 駿太,とくとめ しゅんた,JP,男,001
000236,徳良 陽久,とくら はるひさ,JP,男,004
000237,土出 芳成,どで よしなり,JP,男,001
000238,富濱 喜行,とみはま よしゆき,JP,男,004
000239,友実 良磨,ともざね りょうま,JP,男,002
000240,友高 夢人,ともたか ゆめと,JP,男,002
000241,羅 利晴,な としはる,JP,男,001
000242,長廻 聖治,ながさこ せいじ,JP,男,001
000243,長藤 紀乃,ながふじ きの,JP,女,003
000244,中部 光太朗,なかべ こうたろう,JP,男,001
000245,長水 保奈,ながみず やすな,JP,女,003
000246,中家 萌華,なかや もえか,JP,女,001
000247,中和田 元典,なかわだ もとのり,JP,男,005
000248,名古谷 勝樹,なごや かつき,JP,男,005
000249,浪越 民夫,なみこし たみお,JP,男,003
000250,成木 京佑,なりき きょうすけ,JP,男,004
000251,南家 未侑,なんけ みゆう,JP,女,001
000252,新妻 あり紗,にいずま ありさ,JP,女,004
000253,新原 宏晃,にいはら ひろあき,JP,男,002
000254,西井 良次,にし よしつぐ,JP,男,001
000255,沼山 愛美,ぬまやま なるみ,JP,女,003
000256,根里 寿郎,ねざと ひさお,JP,男,004
000257,信平 寛枝,のぶひら ひろえ,JP,女,002
000258,乗定 晃行,のりさだ てるゆき,JP,男,005
000259,乘松 瑞世,のりまつ みずよ,JP,女,004
000260,則本 伸久,のりもと のぶひさ,JP,男,005
000261,萩沢 ゆり絵,はぎさわ ゆりえ,JP,女,001
000262,橋下 太亮,はしした だいすけ,JP,男,004
000263,枦木 可恋,はぜのき かれん,JP,女,002
000264,波多腰 慈,はたこし しげる,JP,男,004
000265,畑沢 秀生,はたざわ ひでお,JP,男,001
000266,畑島 紗也花,はたしま さやか,JP,女,005
000267,旗本 剛仁,はたもと たけひと,JP,男,003
000268,華園 涼,はなぞの すずか,JP,女,003
000269,濱井 沙絵子,はまい さえこ,JP,女,003
000270,浜澤 眞和,はまざわ まさかず,JP,男,005
000271,濱畑 未香,はまはた みか,JP,女,006
000272,播島 康将,はりしま やすまさ,JP,男,004
000273,針原 襟子,はりはら えりこ,JP,女,002
000274,針間 明寿香,はりま あすか,JP,女,001
000275,春風 芳香,はるかぜ よしか,JP,女,001
000276,半額 優惟,はんがく ゆい,JP,女,002
000277,東 恵里,ひがし えり,JP,女,002
000278,髭 裕香子,ひげ ゆかこ,JP,女,003
000279,日根野谷 留未,ひねのや るみ,JP,女,002
000280,日俣 晴喜,ひまた はるき,JP,男,002
000281,姫井 章広,ひめい あきひろ,JP,男,002
000282,平田 貴行,ひらた たかゆき,JP,男,005
000283,広常 優女,ひろつね ゆめ,JP,女,002
000284,弘永 吉治,ひろなが よしはる,JP,男,003
000285,廣元 聖史,ひろもと さとし,JP,男,006
000286,貧乏 博彦,びんぼう ひろひこ,JP,男,001
000287,福内 眞由,ふくうち まゆ,JP,女,001
000288,福圓 美可,ふくえん みか,JP,女,006
000289,福岡 和彦,ふくおか かずひこ,JP,男,002
000290,福松 六花,ふくまつ りっか,JP,女,002
000291,福和 知康,ふくわ ともやす,JP,男,003
000292,冨士井 三央,ふじい みお,JP,女,003
000293,藤板 美千絵,ふじいた みちえ,JP,女,004
000294,藤野 佳代,ふじの かよ,JP,女,006
000295,富士原 金次郎,ふじはら きんじろう,JP,男,001
000296,渕端 裕也,ふちはた ゆうや,JP,女,002
000297,淵脇 吉隆,ふちわき よしたか,JP,男,006
000298,舩引 拓児,ふなびき たくじ,JP,男,001
000299,古木 敦之,ふるき あつし,JP,男,003
000300,古館 温美,ふるだて はるみ,JP,女,003
000301,古土井 好隆,ふるどい よしたか,JP,男,001
000302,蛇澤 輝生,へびさわ てるお,JP,男,003
000303,蛇澤 麻祐美,へびさわ まゆみ,JP,女,001
000304,帽子 ひとえ,ぼうし ひとえ,JP,女,005
000305,甫木 りた,ほき りた,JP,女,006
000306,細包 真央,ほそかね まさお,JP,男,002
000307,本条 虎太郎,ほんじょう こたろう,JP,男,002
000308,本戸 操,ほんと みさを,JP,女,003
000309,馬 江利子,ま えりこ,JP,女,005
000310,前 なおみ,まえ なおみ,JP,女,005
000311,正井 治子,まさい はるこ,JP,女,004
000312,増田 千佳,ますだ ちか,JP,女,002
000313,又 盛太,また せいた,JP,男,001
000314,松瀬 志津子,まつせ しずこ,JP,女,002
000315,丸澤 顕太,まるさわ けんた,JP,男,002
000316,丸橋 海渡,まるはし かいと,JP,男,004
000317,朏 輝芳,みかづき てるよし,JP,男,003
000318,美樹 尚恵,みき ひさえ,JP,女,004
000319,見里 佐和香,みさと さわか,JP,女,001
000320,水沢 孝明,みずさわ たかあき,JP,男,002
000321,御園井 紀光,みそのい のりみつ,JP,男,006
000322,道場 春夫,みちば はるお,JP,男,003
000323,道政 大行,みちまさ ひろゆき,JP,男,003
000324,光星 弘徳,みつぼし ひろのり,JP,男,002
000325,南崎 浩晃,みなみざき ひろあき,JP,男,001
000326,宮津 了太,みやず りょうた,JP,男,005
000327,宮町 雅央,みやまち まさひろ,JP,男,002
000328,民宿 裕生,みんしゅく ゆうき,JP,女,003
000329,椋尾 道太,むくお みちた,JP,男,002
000330,武者小路 未翔,むしゃのこうじ みか,JP,女,001
000331,無州 顕人,むしゅう けんと,JP,男,005
000332,棟田 由宇,むねた ゆう,JP,男,004
000333,室橋 一弥,むろはし かずや,JP,男,006
000334,目野 和巳,めの かずみ,JP,男,005
000335,毛内 信乃,もうない しの,JP,女,005
000336,森内 涼,もりうち りょう,JP,男,003
000337,森奥 由裕,もりおく よしひろ,JP,男,003
000338,矢入 伸仁,やいり のぶひと,JP,男,003
000339,矢入 裕理香,やいり ゆりか,JP,女,004
000340,八十島 雄二郎,やそしま ゆうじろう,JP,男,002
000341,矢永 一紀,やなが かずき,JP,男,001
000342,柳原 和夫,やなぎはら かずお,JP,男,003
000343,山合 栄次郎,やまあい えいじろう,JP,男,002
000344,山切 江未,やまきり えみ,JP,女,001
000345,山子 千詠,やまこ ちえ,JP,女,002
000346,山千代 杏子,やまちよ あんこ,JP,女,002
000347,大和 夢,やまと ゆめ,JP,女,006
000348,山井 祈,やまのい いのり,JP,女,002
000349,山野上 民枝,やまのうえ たみえ,JP,女,004
000350,谷茂岡 玄一郎,やもおか げんいちろう,JP,男,002
000351,横岡 りんこ,よこおか りんこ,JP,女,003
000352,横道 涼太郎,よこみち りょうたろう,JP,男,002
000353,義 道則,よし みちのり,JP,男,006
000354,米 紗里,よね さり,JP,女,003
000355,米島 哲弥,よねしま てつや,JP,男,002
000356,夜見 龍宏,よみ たつひろ,JP,男,002
000357,龍神 悠哉,りゅうじん ゆうや,JP,男,005
000358,黎 鈴江,れい すずえ,JP,女,002
000359,脇岡 教恵,わきおか みちえ,JP,女,003
000360,綿川 雄二朗,わたかわ ゆうじろう,JP,男,003
000361,伴 一成,ばん かずなり,JP,男,006
000362,鵜飼 浩行,うかい ひろゆき,JP,男,003
000363,長坂 洋佑,ながさか ようすけ,JP,男,002
000364,草場 高士,くさば たかし,JP,男,001
000365,新名 正芳,にいな まさよし,JP,男,003
000366,横関 功治,よこぜき こうじ,JP,男,001
000367,牧島 周二,まきしま しゅうじ,JP,男,004
000368,得丸 正毅,とくまる まさき,JP,男,002
000369,野下 顕治,のした けんじ,JP,男,003
000370,三留 貢一,みとめ こういち,JP,男,005
000371,才田 駿也,さいた しゅんや,JP,男,001
000372,若佐 達則,わかさ たつのり,JP,男,002
000373,松塚 美明,まつづか よしあき,JP,男,005
000374,窪木 清徳,くぼき きよのり,JP,男,003
000375,吉河 丈,よしかわ たけし,JP,男,005
000376,宮岸 邦和,みやぎし くにかず,JP,男,005
000377,椎橋 浩,しいはし ゆたか,JP,男,002
000378,譜久島 真光,ふくしま まさみつ,JP,男,002
000379,諸澤 晴義,もろさわ はるよし,JP,男,001
000380,笈田 知弥,おいだ ともや,JP,男,005
000381,笑福亭 慶悟,しょうふくてい けいご,JP,男,005
000382,久留米 三朗,くるめ さぶろう,JP,男,005
000383,恵藤 真道,えとう まさみち,JP,男,003
000384,野又 夏生,のまた なつき,JP,男,002
000385,友保 隆伸,ともやす たかのぶ,JP,男,003
000386,立浪 郷史,たつなみ さとし,JP,男,003
000387,桑下 公嗣,くわした こうじ,JP,男,006
000388,安竹 凱,やすたけ かい,JP,男,004
000389,秤谷 秀伸,はかりや ひでのぶ,JP,男,003
000390,四宮 基史,しみや もとし,JP,男,002
000391,槻岡 安信,つきおか やすのぶ,JP,男,004
000392,都 清士,ど きよし,JP,男,006
000393,宮越 晴喜,みやごし はるき,JP,男,003
000394,猫村 大喜,ねこむら たいき,JP,男,005
000395,馬本 ともや,うまもと ともや,JP,男,001
000396,權 宗広,ぐぉん むねひろ,JP,男,001
000397,城村 利秋,じょうむら としあき,JP,男,005
000398,大堂 知良,おおどう ともよし,JP,男,002
000399,頼末 浩弥,よりすえ ひろや,JP,男,006
000400,三尾野 光泰,みおの みつやす,JP,男,001
000401,竹留 健助,たけとめ けんすけ,JP,男,001
000402,音澤 慎志,おとざわ しんじ,JP,男,003
000403,黎 清作,れい せいさく,JP,男,006
000404,神林 敦之,かみばやし のぶゆき,JP,男,004
000405,清井 主水,せいい もんど,JP,男,001
000406,源城 竜大,げんじょう りょうた,JP,男,004
000407,島形 さくら,しまがた さくら,JP,男,003
000408,菅江 豊司,すがえ とよじ,JP,男,004
000409,飯箸 穣治,いいはし じょうじ,JP,男,006
000410,丹羽野 幸嗣,にわの ゆきつぐ,JP,男,003
000411,肌附 周,はだつき ひろし,JP,男,005
000412,義間 哲一,よしま てついち,JP,男,003
000413,朝月 達憲,あさつき たつのり,JP,男,002
000414,叶屋 雄也,かのや かつや,JP,男,004
000415,片伊勢 怜士,かたいせ さとし,JP,男,004
000416,播磨谷 英靖,はりまや ひでやす,JP,男,005
000417,亀島 勝史,かめじま まさし,JP,男,001
000418,霜方 宏亘,しもかた ひろのぶ,JP,男,001
000419,中盛 爽,なかもり そう,JP,男,001
000420,土坂 界人,どざか かいと,JP,男,005
000421,中村 淳,なかむら じゅん,JP,男,002
000422,鶴岡 良一,つるおか りょういち,JP,男,004
000423,倉橋 晃一,くらはし こういち,JP,男,001
000424,秋吉 勇樹,あきよし ゆうき,JP,男,001
000425,三國 祥平,みくに しょうへい,JP,男,004
000426,尾野 大,おの まさる,JP,男,002
000427,五月女 孝太郎,そうとめ こうたろう,JP,男,001
000428,小薗 敏博,こぞの としひろ,JP,男,001
000429,史 歩,し あゆみ,JP,男,001
000430,柏本 裕紀,かしもと ひろき,JP,男,006
000431,梁 一磨,りゃん かずま,JP,男,006
000432,矢花 宏平,やばな こうへい,JP,男,003
000433,蟻川 雅久,ありかわ まさひさ,JP,男,005
000434,武吉 貴臣,たけよし たかおみ,JP,男,003
000435,白髭 英郎,しらひげ ひでお,JP,男,001
000436,平江 淳之介,ひらえ じゅんのすけ,JP,男,005
000437,鷲 功司,わし こうじ,JP,男,005
000438,磯見 善郎,いそみ よしろう,JP,男,003
000439,草川 政史,くさがわ まさし,JP,男,003
000440,蔵原 充浩,くらはら みつひろ,JP,男,004
000441,国谷 嘉隆,くにや よしたか,JP,男,001
000442,眞嶋 竜男,ましま たつお,JP,男,002
000443,谷亀 康次郎,やがめ こうじろう,JP,男,003
000444,炭山 慶司,すみやま けいじ,JP,男,004
000445,宮家 恭男,みやけ やすお,JP,男,004
000446,蔦谷 勝郎,つたたに かつろう,JP,男,005
000447,溝呂木 真利,みぞろき まさとし,JP,男,003
000448,間仲 正治,まなか まさじ,JP,男,002
000449,東恩納 銀河,ひがおんな ぎんが,JP,男,005
000450,京増 龍吾,きょうます りゅうご,JP,男,002
000451,伊集院 藤夫,いじゅいん ふじお,JP,男,006
000452,広富 清広,ひろとみ きよひろ,JP,男,003
000453,日生 俊範,ひなせ としのり,JP,男,005
000454,引原 光輔,ひきはら こうすけ,JP,男,003
000455,中畝 恒治,なかうね つねはる,JP,男,003
000456,三ツ野 晃一朗,みつの こういちろう,JP,男,001
000457,間淵 純孝,まぶち すみたか,JP,男,002
000458,宮橋 政己,みやはし まさみ,JP,男,006
000459,屋久 金吾,やひさ きんご,JP,男,002
000460,久留主 仁之,くるす ひとし,JP,男,003
000461,尾頭 凜太郎,びとう りんたろう,JP,男,001
000462,海老池 幸敏,えびいけ ゆきとし,JP,男,004
000463,麻丘 槙吾,あさおか しんご,JP,男,001
000464,土藏 哲浩,つちくら てつひろ,JP,男,002
000465,出沼 隆朗,いでぬま たかあき,JP,男,003
000466,波風 良輝,なみかぜ よしてる,JP,男,002
000467,相吉澤 奨吾,あいよしざわ しょうご,JP,男,006
000468,田那村 伸典,たなむら しんすけ,JP,男,004
000469,仁林 久朗,にばやし ひさあき,JP,男,005
000470,多伊良 航基,たいら こうき,JP,男,006
000471,阿久 満晴,あく みつはる,JP,男,002
000472,杉琴 征四郎,すぎこと せいしろう,JP,男,002
000473,鳥屋原 繁彦,とやはら しげひこ,JP,男,004
000474,北之迫 朋則,きたのさこ とものり,JP,男,001
000475,山司 一郎太,やまじ いちろうた,JP,男,006
000476,宝山 武紀,ほうやま たけのり,JP,男,002
000477,八屋 大信,はちや ひろのぶ,JP,男,004
000478,大抜 誠史,おおぬき まさし,JP,男,004
000479,家山 暢男,いえやま のぶお,JP,男,002
000480,薗畑 あさひ,そのはた あさひ,JP,男,004
000481,岡崎 健,おかざき けん,JP,男,001
000482,長谷 拓,ながたに たく,JP,男,001
000483,塩沢 勝也,しおざわ かつや,JP,男,002
000484,生井 敦史,なまい あつし,JP,男,003
000485,鹿内 大和,しかない やまと,JP,男,006
000486,本井 智洋,もとい ともひろ,JP,男,001
000487,遠野 憲二,とおの けんじ,JP,男,003
000488,大成 竜太,おおなり りょうた,JP,男,003
000489,石尾 敏裕,いしお としひろ,JP,男,001
000490,得田 聡太,とくだ そうた,JP,男,005
000491,瀬名 茂生,せな しげお,JP,男,002
000492,穴山 啓史,あなやま ひろし,JP,男,006
000493,合屋 幸人,ごうや ゆきと,JP,男,002
000494,諸隈 文康,もろくま ふみやす,JP,男,004
000495,槌田 敏勝,つちだ としかつ,JP,男,001
000496,水石 基宏,みずいし もとひろ,JP,男,001
000497,埴岡 昌良,はにおか まさよし,JP,男,005
000498,源馬 功司,げんま こうじ,JP,男,003
000499,酒見 ケンジ,さかみ けんじ,JP,男,004
000500,定 幸,さだ こう,JP,男,005
000501,泉水 靖生,いずみ やすお,JP,男,001
000502,本条 彰男,ほんじょう あきお,JP,男,001
000503,御所 成人,ごしょ なると,JP,男,005
000504,荒戸 琢郎,あらと たくろう,JP,男,003
000505,朝戸 瑞希,あさと みずき,JP,男,002
000506,京塚 俊春,きょうづか としはる,JP,男,001
000507,牛 大平,うし たいへい,JP,男,001
000508,倉敷 伸太朗,くらしき しんたろう,JP,男,001
000509,村北 創一郎,むらきた そういちろう,JP,男,001
000510,諸越 博之,もろこし ひろし,JP,男,003
000511,打矢 真登,うちや まさと,JP,男,002
000512,木野下 敬士,きのした けいじ,JP,男,002
000513,信永 朝雄,のぶなが あさお,JP,男,001
000514,是沢 昌道,これさわ まさみち,JP,男,005
000515,螺良 貴祥,つぶら たかよし,JP,男,003
